Name,Sport,Age,Height,Weight,Sex
Dana Jayne Shrader (-Butler),Swimming,16.0,178.0,63.0,F
Yelena Nikolayevna Shevchenko,Gymnastics,16.0,152.0,42.0,F
"Angela Denise Coughlan (-Arusoo, -Sharp)",Swimming,16.0,168.0,59.0,F
Vladimir Ilyich Shemetov,Swimming,16.0,186.0,71.0,M
Jana Drries,Swimming,16.0,180.0,66.0,F
Oksana Vasilyevna Lyapina,Gymnastics,16.0,144.0,33.0,F
Nataliya Gennadyevna Strunnikova,Swimming,16.0,182.0,67.0,F
Carin Alice Cone (-Vanderbush),Swimming,16.0,167.0,59.0,F
Karola Sube (-Ziesche),Gymnastics,16.0,153.0,40.0,F
"Katalin Szke (Homonnai-, -Markovits, -Domjan)",Swimming,16.0,,,F
Ines Diers (-Noack),Swimming,16.0,175.0,64.0,F
Angelina Nikolayevna Yushkova (-Shcherbakova),Rhythmic Gymnastics,16.0,173.0,50.0,F
Margot Marsman (-de Jong),Swimming,16.0,,,F
Diana Pizzavini,Gymnastics,16.0,,,F
"John (Jacob) ""Jackie"" Fields (Finkelstein-)",Boxing,16.0,171.0,57.0,M
"Christine ""Kiki"" Caron (-Garin)",Swimming,16.0,172.0,66.0,F
Jennifer Marie Capriati,Tennis,16.0,173.0,61.0,F
Estbaliz Martnez Yerro,Rhythmic Gymnastics,16.0,164.0,42.0,F
Taylor Madison Ruck,Swimming,16.0,180.0,60.0,F
Kirsten Thomson,Swimming,16.0,179.0,63.0,F
Jean Klein,Rowing,16.0,172.0,52.0,M
Cathy Jane Ferguson (-Brennan),Swimming,16.0,173.0,61.0,F
Yolane Nicole Kukla,Swimming,16.0,168.0,61.0,F
Fan Yilin,Gymnastics,16.0,148.0,37.0,F
Pl Simon,Athletics,16.0,182.0,76.0,M
Andrea Eife (-Gemsleben),Swimming,16.0,170.0,57.0,F
Tetiana Mykolavna Dev'iatova (-Kostitsyna),Swimming,16.0,166.0,61.0,F
Anna Sergeyevna Chepeleva,Gymnastics,16.0,,,F
Emma Maria Josefin Eliasson,Ice Hockey,16.0,167.0,68.0,F
Berta Zahourek (-Blaha),Swimming,16.0,,,F
McKayla Rose Maroney,Gymnastics,16.0,160.0,46.0,F
Giovanni Scher,Rowing,16.0,165.0,,M
Chao Na,Swimming,16.0,178.0,69.0,F
Ruth Rhonda Everuss,Swimming,16.0,167.0,66.0,F
Sang Xue,Diving,16.0,157.0,42.0,F
"Clara ""Clare"" Dennis (-Golding)",Swimming,16.0,,,F
Anastasiya Nikolayevna Grishina,Gymnastics,16.0,146.0,37.0,F
Anik Kry,Gymnastics,16.0,157.0,51.0,F
"Yanina Farkhadovna ""Yana"" Batyrshina",Rhythmic Gymnastics,16.0,163.0,47.0,F
Luciano Negrini,Rowing,16.0,,,M
Kroly Bartha,Swimming,16.0,,,M
Florena Andreea Isrescu,Gymnastics,16.0,150.0,37.0,F
Anne Elizabeth Henning (-Walker),Speed Skating,16.0,170.0,66.0,F
Nadia Anita Louise Nall (-Richesson),Swimming,16.0,165.0,56.0,F
Patricia Moreno Snchez,Gymnastics,16.0,143.0,31.0,F
Shawn Machel Johnson (-East),Gymnastics,16.0,145.0,41.0,F
Willi Padge,Rowing,16.0,168.0,56.0,M
Jenna Leigh Johnson,Swimming,16.0,180.0,63.0,F
"Sandra Lynn ""Sandy"" Neilson (-Bell)",Swimming,16.0,173.0,63.0,F
Melissa Paige Wu,Diving,16.0,152.0,50.0,F
Neville Ronald Hayes,Swimming,16.0,183.0,80.0,M
Svetlana Nikolayevna Baitova,Gymnastics,16.0,152.0,39.0,F
Gisela Wei (-Engelhardt),Swimming,16.0,165.0,61.0,F
Mariya Mikhaylovna Lazuk,Rhythmic Gymnastics,16.0,161.0,39.0,F
Joan Cynthia Harrison (-Breetzke),Swimming,16.0,,,F
Ye Shiwen,Swimming,16.0,173.0,64.0,F
Emma Clare Johnson,Swimming,16.0,179.0,72.0,F
Carolina Pascual Garca,Rhythmic Gymnastics,16.0,,,F
Helen Jameson,Swimming,16.0,173.0,60.0,F
Irina Aleksandrovna Zilber,Rhythmic Gymnastics,16.0,174.0,49.0,F
Larisa Andreea Iordache,Gymnastics,16.0,150.0,,F
Idriss Carlos Kameni,Football,16.0,184.0,78.0,M
Mark Steven Howe,Ice Hockey,16.0,180.0,82.0,M
Oksana Serhivna Baiul,Figure Skating,16.0,159.0,43.0,F
Valrie Hould-Marchand,Synchronized Swimming,16.0,163.0,50.0,F
"Margarete ""Grete"" Adler",Swimming,16.0,,,F
Laila Schou Nilsen,Alpine Skiing,16.0,,,F
Diana Iuliana Mocanu,Swimming,16.0,170.0,68.0,F
Thomas Ahrens,Rowing,16.0,163.0,50.0,M
Pernilla Margareta Stephanie Winberg,Ice Hockey,16.0,165.0,63.0,F
Sarah Elizabeth Hughes,Figure Skating,16.0,160.0,,F
Michael Obst,Rowing,16.0,171.0,55.0,M
Ulrike Holmer (-Lederer),Shooting,16.0,154.0,50.0,F
Sharon Lynn Wichman (-Jones),Swimming,16.0,175.0,60.0,F
Victor Fernand Hochepied,Swimming,16.0,,,M
